GENE,aver.sec4.bs,aver.sec4.me,aver.sec9.bs,aver.sec9.me,aver.sec14.bs,aver.sec14.me,sder.sec4.bs,sder.sec4.me,sder.sec9.bs,sder.sec9.me,sder.sec14.bs,sder.sec14.me
GRMZM2G097848,0.317967275,0.382640024,0.168546116,0.297720457,0.081417668,0.176627907,0.077555113,0.00197536,0.006534943,0.031253391,0.015192503,0.096627907
GRMZM2G097854,0.007462687,0.056588427,0.008379888,0.108169979,0.051442362,0.087325581,0.007462687,0.02033465,0.008379888,0.0115905,0.04127287,0.017325581
GRMZM2G097856,0.087584191,0.094966896,0.087889618,0.120928866,0.073589596,0.092444922,0.005592789,0.00044812,0.015361449,0.004769767,0.000445923,0.015809982
GRMZM2G097878,0.051645038,0.009063444,0.244984619,0.006036217,0,0.00872093,0.0379072,0.009063444,0.077386854,0.006036217,0,0.00872093
GRMZM2G097880,0,0,0,0,0.197313736,0.139515484,0,0,0,0,0.00290698,0.032151146
GRMZM2G097884,0.293501029,0.167557521,0.002793296,0.014994157,0.024952296,0.273604651,0.005006434,0.013711367,0.002793296,0.008957939,0.014782804,0.063604651
GRMZM2G097896,1.414416279,2.363496439,2.389025043,3.885944433,1.206555179,1.862209302,0.220386428,0.382727209,0.042656327,0.206869938,0.098080582,0.187790698
GRMZM2G097898,1.463348772,1.104810612,1.278479598,1.689405908,0.952306664,1.110697674,0.07528907,0.125958619,0.144401386,0.006771177,0.067560885,0.029302326
GRMZM2G097900,0.307576342,0.417789921,0.764404436,1.001512074,1.788012138,3.912209302,0.173247984,0.071636075,0.155465888,0.127260577,0.07953753,1.737790698
GRMZM2G097926,0.00947326,0.008600041,0.006103662,0.006942025,0.000946073,0.00392857,0.002473502,0.002189772,0.001166421,0.002165215,0.000946073,0.00392857
GRMZM2G097929,0.002554663,0.007507754,0.000252642,0.000754527,0.013422525,0.006560809,0.000688991,0.002700061,0.000252642,0.000754527,0.004023453,0.003653832
GRMZM2G097959,6.536191727,7.062913975,13.6388408,15.76792896,6.232208082,6.124098814,0.021022154,0.423490994,0.410256133,1.348268352,0.636445296,0.125067826
GRMZM2G097967,0.03553213,0.046973043,0,0,0.013245033,0.005,0.005681384,0.010719265,0,0,0.013245033,0.005
GRMZM2G097972,0.006868919,0,0.00651769,0,0,0.005813953,0.006868919,0,0.00651769,0,0,0.005813953
GRMZM2G097977,0.703604943,0.536166639,0.192346059,0.181932916,0.277129871,0.409476744,0.024500465,0.170782023,0.039497516,0.017262257,0.007638341,0.095523256
GRMZM2G097981,0,0,0,0,0.006622517,0.069825581,0,0,0,0,0.006622517,0.034825581
GRMZM2G097983,0.011493906,0,0.01137711,0.018912462,0.010805085,0.012273901,0.008644516,0,0.003928376,0.006755828,0.010805085,0.012273901
GRMZM2G097987,0.216161618,0.326879507,0.228559287,0.219418308,0.271163993,0.213372093,0.037569725,0.009658954,0.036803842,0.005132591,0.159299584,0.013372093
GRMZM2G097989,0,0.027190333,0,0.002994012,0.006622517,0.04744186,0,0.027190333,0,0.002994012,0.006622517,0.01255814
GRMZM2G097995,0.651791167,1.192133414,2.101692684,2.002159675,0.868110906,1.682209302,0.019850624,0.076748799,0.182698271,0.336163678,0.105399028,0.242209302
GRMZM2G098011,2.837328534,1.994814691,4.62131681,3.195872866,3.389067265,2.489825581,0.247746093,0.245569925,0.798970441,0.495274064,0.246694325,0.135174419
GRMZM2G098015,0.500418657,1.462148525,0.069633159,0.511560384,0.116129757,0.128255814,0.007881344,0.096763909,0.008180645,0.134314875,0.095790773,0.081744186
GRMZM2G098039,2.426453997,2.371107402,2.891329291,5.574753952,2.023021673,7.823023256,0.379516153,0.032738752,0.276804151,0.401101257,1.036580976,0.363023256
GRMZM2G098042,0.097777431,0.219614226,0.079267379,0.076600321,0.108143452,0.154709302,0.029088241,0.011155005,0.054127714,0.013220038,0.008805703,0.019709302
GRMZM2G098058,1.272712789,1.395828512,3.962481363,3.250739489,0.877926823,1.618965116,0.101070998,0.027248411,0.400647129,0.121996974,0.125384436,0.101965116
GRMZM2G098076,1.696430638,2.149527482,1.753825946,1.990986818,1.559832769,1.814302326,0.169241003,0.376113537,0.248036227,0.123783613,0.102879127,0.104302326
GRMZM2G098078,0.014925373,0,0.001396648,0,0.011707262,0.005813953,0.014925373,0,0.001396648,0,0.001537771,0.005813953
GRMZM2G098079,0.526666207,0.433868819,0.284233081,0.233035942,0.274587498,0.125174419,0.107662151,0.001176511,0.017442897,0.01746708,0.010180714,0.020174419
GRMZM2G098084,0.26424405,0.116604696,0.013909554,0.034539573,0.311011339,0.49505814,0.010512707,0.001220081,0.008322962,0.007376595,0.046604555,0.02994186
GRMZM2G098088,0.040451008,0.023210551,0.055737837,0,0.002542373,0.013313953,0.026713171,0.003979782,0.005714677,0,0.002542373,0.001686047
GRMZM2G098099,0.014331606,0.009615385,0,0,0,0.039069767,0.000593768,0.009615385,0,0,0,0.019069767
GRMZM2G098129,0.049295597,0.004807692,0.129350828,0.023282036,0.243428559,0.026639535,0.001534403,0.004807692,0.025998873,0.00172515,0.110978228,0.010360465
GRMZM2G098153,2.178363446,1.563110063,0.6269546,0.871673158,0.944084642,1.331744186,0.261935062,0.004197629,0.026676685,0.017548399,0.016932325,0.121744186
GRMZM2G098167,0.343873099,0.224145948,0.353875722,0.12019422,1.000303077,0.498255814,0.045365636,0.006623283,0.012977155,0.011542307,0.311561355,0.048255814
GRMZM2G098174,0.437651487,0.435379396,0.33285959,0.290199282,0.37008082,0.489593023,0.059860946,0.002687088,0.033976914,0.02972024,0.080250306,0.004593023
GRMZM2G098179,0.013737838,0.047524983,0.058431511,0.048121062,0.011707262,0.005,0.013737838,0.029398094,0.03049855,0.006204894,0.001537771,0.005
GRMZM2G098182,0.006868919,0.019230769,0,0,0,0,0.006868919,0.019230769,0,0,0,0
GRMZM2G098187,0,0,0.008365657,0.036048627,0.006622517,0.010813953,0,0,0.002807528,0.00586754,0.006622517,0.000813953
GRMZM2G098203,0,0.027742273,0,0,0,0,0,0.008511504,0,0,0,0
GRMZM2G098208,0.625246734,0.549253434,0.316135395,0.396667432,0.204517906,0.339302326,0.102858674,0.114208104,0.036805786,0.03147628,0.085312608,0.079302326
GRMZM2G098209,0.001373784,0.053703812,0.006876374,0.03556338,0,0,0.001373784,0.017450034,0.001503514,0.03556338,0,0
GRMZM2G098212,0.394416035,0.307924708,0.206077717,0.271946049,0.166382312,0.131511628,0.023494413,0.000232401,0.038479952,0.024461136,0.047177014,0.038488372
GRMZM2G098214,0.645516015,0.363961195,1.318055389,1.593356557,0.62538445,0.808139535,0.041051149,0.00142342,0.078592656,0.042458354,0.122073191,0.191860465
GRMZM2G098227,1.210130014,0.886808637,1.364922345,1.118314686,1.227489066,0.7125,0.028675956,0.146424022,0.116318993,0.019512291,0.169861928,0.2125
GRMZM2G098237,2.203167167,1.384353968,2.939740383,2.305756711,2.074071182,1.455,0.169967161,0.518969352,0.132885316,0.036295633,0.111359281,0.045
GRMZM2G098239,0.122709298,0.251336281,0.011914341,0.063067025,0.185306994,1.06244186,0.026544433,0.02056705,0.010318174,0.014777286,0.053103602,0.02755814
GRMZM2G098278,0.013737838,0,0,0,0,0.015,0.013737838,0,0,0,0,0.015
GRMZM2G098279,0.084802098,0.256695914,0.005558129,0.186303451,0.096262207,0.41255814,0.025100605,0.002919471,0.005558129,0.017289364,0.075923224,0.05255814
GRMZM2G098290,204.0127174,166.3263885,295.188978,371.3508439,49.23605958,38.7572093,10.66638708,21.58600388,9.00741374,23.21502441,8.918178789,6.167209302
GRMZM2G098298,0.959964106,0.77190043,1.968494709,1.952996435,2.453835083,8.661947666,0.129588133,0.006945724,0.05385166,0.147607214,1.141970652,1.463885654
GRMZM2G098301,0.057171205,0.076593835,0.006971378,0.008032217,0.00831743,0.034069762,0.027405899,0.013149742,0.002339606,0.004040205,0.004927603,0.024069762
GRMZM2G098305,0.03553213,0,0.083656566,0.012048338,0.162835337,0.081453488,0.005681384,0,0.028075278,0.006060314,0.030385006,0.078546512
GRMZM2G098319,0.003434459,0,0.002779064,0.003018109,0,0,0.003434459,0,0.002779064,0.003018109,0,0
GRMZM2G098331,0.094950238,0.11734056,0.101703867,0.154327146,0.079408457,0.099554236,0.010373163,0.023685017,0.003510272,0.004626571,0.013306761,0.001220926
GRMZM2G098335,1.36533067,0.990752581,0.853773301,1.013029275,2.252870878,1.780651141,0.138962541,0.002837156,0.072581499,0.125803732,0.281345431,0.071348839
GRMZM2G098346,0.987099477,0.729258672,0.46796443,0.712954378,0.84245146,2.314302326,0.00202485,0.26772021,0.043383424,0.132116055,0.150926023,0.895697674
GRMZM2G098368,0.006868919,0.009063444,0.002793296,0,0,0,0.006868919,0.009063444,0.002793296,0,0,0
GRMZM2G098370,0.023933959,0.019123694,0.016058937,0.007439083,0.375636299,0.076322902,0.001119339,0.011096075,0.007207443,0.002724489,0.049231574,0.043677098
GRMZM2G098397,1.264831445,0.844410887,0.49452209,0.078121424,0.025423729,0.064476744,0.399347659,0.155589113,0.00848857,0.008704924,0.025423729,0.000523256
GRMZM2G098420,0.258942855,0.338622768,0.38436479,0.463952882,0.287473345,0.317790698,0.109689124,0.01233877,0.04916926,0.068743302,0.088797848,0.007790698
GRMZM2G098423,3.9228659,9.951952274,3.27345582,8.666098443,1.111286353,1.415697674,0.624358438,0.163432341,0.111444647,0.058452455,0.276849267,0.165697674
GRMZM2G098434,0.163329044,0.119809821,0.178223031,0.157896482,0.105129645,0.135523256,0.029000686,0.001985044,0.03576493,0.020171931,0.033943203,0.050523256
GRMZM2G098442,0.020606757,0.01282051,0,0,0.020338983,0,0.020606757,0.01282051,0,0,0.020338983,0
GRMZM2G098460,0.354430648,0.856030693,2.208976469,6.701436207,4.243164252,6.81005814,0.078311245,0.240646077,0.369235821,0.258322435,0.332994688,0.15505814
GRMZM2G098494,0.384578278,0.463659084,0.40123842,0.267912869,0.671332367,0.450930233,0.041294696,0.098274468,0.012169401,0.094260174,0.030654388,0.009069767
GRMZM2G098496,1.882190462,2.739484119,2.465449314,2.365829724,2.124346182,3.01872093,0.192436403,0.183592804,0.119080599,0.024512359,0.537905474,0.25127907
GRMZM2G098517,0.024634984,0.009063444,0.059885086,0.051115074,0.795538232,1.076104651,0.009709611,0.009063444,0.00681246,0.003210882,0.49090247,0.488895349
GRMZM2G098520,836.818596,113.8562358,1243.076325,64.02050974,1833.430549,127.9748837,101.2215811,0.760081908,7.426468547,5.242066622,298.698982,5.905116279
GRMZM2G098527,0.304863796,0.289245879,0.32037515,0.417950822,1.295835683,1.618255814,0.066057826,0.000784341,0.01311258,0.028729265,0.055157694,0.071744186
GRMZM2G098545,3.642684052,5.338281512,9.85189458,11.54708498,11.05202613,12.74383721,0.135221365,0.027103104,1.080944859,0.247683784,1.848636125,0.546162791
GRMZM2G098557,0.233557879,0.298585294,0.260297523,0.314172893,0.555918177,0.630539866,0.005248092,0.000508371,0.035193304,0.046850396,0.088121558,0.025888704
GRMZM2G098569,0.265134702,0.167281551,0.356367787,0.711120018,0.535110565,0.713255814,0.010984701,0.023050781,0.102177843,0.049443372,0.219856322,0.083255814
GRMZM2G098577,1.375773452,1.346959633,0.825027111,1.051939711,1.199987548,1.020833322,0.104380437,0.017783944,0.182569011,0.164314969,0.05939432,0.287499992
GRMZM2G098583,0.068223568,0.069079713,0.05858806,0.002994012,0.016792008,0.069476744,0.006403298,0.030618175,0.030797415,0.002994012,0.003546975,0.005523256
GRMZM2G098594,0.183342033,0.074715316,0.030655099,0.051211461,0.040206533,0.074069767,0.063939048,0.002207761,0.002864454,0.027259365,0.000471434,0.015930233
GRMZM2G098596,0,0,0.002793296,0,0.006622517,0,0,0,0.002793296,0,0.006622517,0
GRMZM2G098603,0.339208391,0.316988153,0.328840429,0.297877085,0.221495118,0.418100775,0.100402421,0.009295845,0.028701471,0.070332175,0.109630709,0.111899225
GRMZM2G098606,0.119095823,0.136871124,0.072423758,0.125728461,0.152812492,0.085749644,0.024568539,0.003940722,0.015161232,0.021843239,0.000504677,0.006389226
GRMZM2G098622,0.362446511,0.244480598,0.236960523,0.34575718,0.100444775,0.257209302,0.115165429,0.06321171,0.053542271,0.016415863,0.058495622,0.082790698
